variable,label,tipo,n_unicos,valores,bloque,tipo_agregacion,nota_agregacion,usar
mod_126,Canales de atención al ciudadano / Libro de Reclamaciones,numeric,3,,instrumentos_gestion,ninguna,,SI
mod_127,Canales de atención al ciudadano / Otro canal de atención,numeric,3,,instrumentos_gestion,ninguna,,SI
mod_128,Municipalidad,haven_labelled,2,No informó = 0; Informó = 1,instrumentos_gestion,ninguna,,SI
mod_129,Modalidades de pago / En ventanilla de la municipalidad con efectivo,numeric,2,,instrumentos_gestion,ninguna,,SI
mod_130,Modalidades de pago / En ventanilla de la municipalidad con tarjeta de crédito,numeric,3,,instrumentos_gestion,ninguna,,SI
mod_131,Modalidades de pago / Página Web de la municipalidad (Pago en línea),numeric,3,,instrumentos_gestion,ninguna,,SI
mod_132,Modalidades de pago / Otra modalidad de pago,numeric,3,,instrumentos_gestion,ninguna,,SI
mod_133,Municipalidad,haven_labelled,2,No informó = 0; Informó = 1,instrumentos_gestion,ninguna,,SI
mod_134,La Municipalidad tiene personal exclusivo del área de administracion tributaria,haven_labelled,3,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,instrumentos_gestion,ninguna,,SI
mod_135,Personal exclusivo del área al 31 de diciembre 2015 / Total,numeric,133,,instrumentos_gestion,ninguna,,SI
mod_136,Personal exclusivo del área al 31 de diciembre 2015 / Mujer,numeric,85,,instrumentos_gestion,ninguna,,SI
mod_137,Personal exclusivo del área al 31 de diciembre 2015 / Hombre,numeric,83,,instrumentos_gestion,ninguna,,SI
mod_138,Personal exclusivo del área al 30 de junio 2016 / Total,numeric,135,,instrumentos_gestion,ninguna,,SI
mod_139,Personal exclusivo del área al 30 de junio 2016 / Mujer,numeric,83,,instrumentos_gestion,ninguna,,SI
mod_140,Personal exclusivo del área al 30 de junio 2016 / Hombre,numeric,85,,instrumentos_gestion,ninguna,,SI
mod_141,Municipalidad,haven_labelled,2,No informó = 0; Informó = 1,instrumentos_gestion,ninguna,,SI
mod_142,Número de licencias de funcionamiento para establecimientos / SERVICIOS / Resta,numeric,232,,instrumentos_gestion,ninguna,,SI
mod_143,Número de licencias de funcionamiento para establecimientos / SERVICIOS / Agenc,numeric,55,,instrumentos_gestion,ninguna,,SI
mod_144,Número de licencias de funcionamiento para establecimientos / SERVICIOS / Peluq,numeric,116,,instrumentos_gestion,ninguna,,SI
mod_145,Número de licencias de funcionamiento para establecimientos / SERVICIOS / Entid,numeric,44,,instrumentos_gestion,ninguna,,SI
mod_146,Número de licencias de funcionamiento para establecimientos / SERVICIOS / Artes,numeric,27,,instrumentos_gestion,ninguna,,SI
mod_147,Número de licencias de funcionamiento para establecimientos / SERVICIOS / Disco,numeric,33,,instrumentos_gestion,ninguna,,SI
mod_148,Número de licencias de funcionamiento para establecimientos / SERVICIOS / Activ,numeric,109,,instrumentos_gestion,ninguna,,SI
mod_149,Número de licencias de funcionamiento para establecimientos / SERVICIOS / Empre,numeric,34,,instrumentos_gestion,ninguna,,SI
mod_150,Número de licencias de funcionamiento para establecimientos / SERVICIOS / Cabin,numeric,68,,instrumentos_gestion,ninguna,,SI
mod_151,Número de licencias de funcionamiento para establecimientos / SERVICIOS / Juego,numeric,28,,instrumentos_gestion,ninguna,,SI
mod_152,Número de licencias de funcionamiento para establecimientos / SERVICIOS / Otro,numeric,117,,instrumentos_gestion,ninguna,,SI
mod_153,Número de licencias de funcionamiento para establecimientos / ARTESANÍA Y MANU,numeric,39,,instrumentos_gestion,ninguna,,SI
mod_154,Número de licencias de funcionamiento para establecimientos / ARTESANÍA Y MANU,numeric,43,,instrumentos_gestion,ninguna,,SI
mod_155,Número de licencias de funcionamiento para establecimientos / COMERCIO / Bodega,numeric,209,,instrumentos_gestion,ninguna,,SI
mod_156,Número de licencias de funcionamiento para establecimientos / COMERCIO / Farmac,numeric,83,,instrumentos_gestion,ninguna,,SI
mod_157,Número de licencias de funcionamiento para establecimientos / COMERCIO / Ferret,numeric,69,,instrumentos_gestion,ninguna,,SI
mod_158,Número de licencias de funcionamiento para establecimientos / COMERCIO / Venta,numeric,104,,instrumentos_gestion,ninguna,,SI
mod_159,Número de licencias de funcionamiento para establecimientos / COMERCIO / Venta,numeric,59,,instrumentos_gestion,ninguna,,SI
mod_160,Número de licencias de funcionamiento para establecimientos / COMERCIO / Mercad,numeric,16,,instrumentos_gestion,ninguna,,SI
mod_161,Número de licencias de funcionamiento para establecimientos / COMERCIO / Centro,numeric,32,,instrumentos_gestion,ninguna,,SI
mod_162,Número de licencias de funcionamiento para establecimientos / COMERCIO / Otro,numeric,96,,instrumentos_gestion,ninguna,,SI
mod_163,Municipalidad,haven_labelled,2,No informó = 0; Informó = 1,instrumentos_gestion,ninguna,,SI
mod_164,Número de licencias de habilitación urbana / Vivienda,numeric,113,,instrumentos_gestion,ninguna,,SI
mod_165,Número de licencias de habilitación urbana / Comercio,numeric,38,,instrumentos_gestion,ninguna,,SI
mod_166,Número de licencias de habilitación urbana / Servicio,numeric,17,,instrumentos_gestion,ninguna,,SI
mod_167,Número de licencias de habilitación urbana / Industria,numeric,14,,instrumentos_gestion,ninguna,,SI
mod_168,Número de licencias de habilitación urbana / Otro,numeric,5,,instrumentos_gestion,ninguna,,SI
mod_169,Municipalidad,haven_labelled,2,No informó = 0; Informó = 1,instrumentos_gestion,ninguna,,SI
mod_170,Número de licencias de edificación / Viviendas unifamiliares,numeric,326,,instrumentos_gestion,ninguna,,SI
mod_171,Número de licencias de edificación / Viviendas multifamiliares,numeric,157,,instrumentos_gestion,ninguna,,SI
mod_172,Número de licencias de edificación / Edificaciones de uso mixto con vivienda,numeric,71,,instrumentos_gestion,ninguna,,SI
mod_173,Número de licencias de edificación / Restaurantes,numeric,34,,instrumentos_gestion,ninguna,,SI
mod_174,Número de licencias de edificación / Centros comerciales o galerías comercial,numeric,49,,instrumentos_gestion,ninguna,,SI
mod_175,Número de licencias de edificación / Campos feriales,numeric,9,,instrumentos_gestion,ninguna,,SI
mod_176,"Número de licencias de edificación / Hoteles, hostales y otros establecimiento",numeric,29,,instrumentos_gestion,ninguna,,SI
mod_177,Número de licencias de edificación / Fábricas industriales,numeric,23,,instrumentos_gestion,ninguna,,SI
mod_178,Número de licencias de edificación / Locales de instituciones del Estado,numeric,14,,instrumentos_gestion,ninguna,,SI
mod_179,Número de licencias de edificación / Terminales de transporte terrestre,numeric,7,,instrumentos_gestion,ninguna,,SI
mod_180,Número de licencias de edificación / Otro,numeric,58,,instrumentos_gestion,ninguna,,SI
mod_181,Municipalidad,haven_labelled,2,No informó = 0; Informó = 1,instrumentos_gestion,ninguna,,SI
mod_182,¿La municipalidad realizó verificaciones técnicas a las obras con licencia de,haven_labelled,3,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,instrumentos_gestion,ninguna,,SI
mod_183,Número de verificaciones técnicas a las obras con licencia de edificación  /,numeric,349,,instrumentos_gestion,ninguna,,SI
mod_184,Número de verificaciones técnicas a las obras con licencia de edificación  /,numeric,273,,instrumentos_gestion,ninguna,,SI
mod_185,Número de verificaciones técnicas a las obras con licencia de edificación / T,numeric,321,,instrumentos_gestion,ninguna,,SI
mod_186,Municipalidad,haven_labelled,2,No informó = 0; Informó = 1,instrumentos_gestion,ninguna,,SI
mod_187,¿La municipalidad dispone de terrenos propios para fines de vivienda que no est,haven_labelled,3,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,instrumentos_gestion,ninguna,,SI
mod_188,"Terrenos propios para fines de vivienda que no están ocupados, construidos o af",numeric,81,,instrumentos_gestion,ninguna,,SI
mod_189,"Terrenos propios para fines de vivienda que no están ocupados, construidos o af",numeric,268,,instrumentos_gestion,ninguna,,SI
mod_190,"Terrenos propios para fines de vivienda que no están ocupados, construidos o af",numeric,53,,instrumentos_gestion,ninguna,,SI
mod_191,"Terrenos propios para fines de vivienda que no están ocupados, construidos o af",numeric,60,,instrumentos_gestion,ninguna,,SI
mod_192,"Terrenos propios para fines de vivienda que no están ocupados, construidos o af",numeric,257,,instrumentos_gestion,ninguna,,SI
mod_1,Municipalidad,haven_labelled,2,No = 0; Sí = 1,instrumentos_gestion,ninguna,,SI
mod_2,RECODE of mod_2 (Instrumento de gestión y desarrollo que dispone/ Plan de Desarr,haven_labelled,2,No = 0; Sí = 1,instrumentos_gestion,ninguna,,SI
mod_44,RECODE of mod_44 (Actividades que ejecutó el Consejo de Coordinación Local/ Real,haven_labelled,2,No = 0; Sí = 1,instrumentos_gestion,ninguna,,SI
mod_46,RECODE of mod_46 (Actividades que ejecutó el Consejo de Coordinación Local/ Part,haven_labelled,2,No = 0; Sí = 1,instrumentos_gestion,ninguna,,SI
mod_47,RECODE of mod_47 (Actividades que ejecutó el Consejo de Coordinación Local / Par,haven_labelled,2,No = 0; Sí = 1,instrumentos_gestion,ninguna,,SI
mod_48,RECODE of mod_48 (Actividades que ejecutó el Consejo de Coordinación Local / Otr,haven_labelled,2,No = 0; Sí = 1,instrumentos_gestion,ninguna,,SI
limpgast_2,Gasto ejecutado en el servicio de limpieza pública (en soles) / Gasto total,numeric,4531,,servicios_limpieza,sumar,,SI
limpgast_3,Gasto ejecutado en el servicio de limpieza pública (en soles) / Recojo domicili,numeric,3738,,servicios_limpieza,sumar,,SI
limpgast_4,Gasto ejecutado en el servicio de limpieza pública (en soles) / Barridos de cal,numeric,2824,,servicios_limpieza,sumar,,SI
limpgast_5,Gasto ejecutado en el servicio de limpieza pública (en soles) / Otro,numeric,405,,servicios_limpieza,sumar,,SI
regamb_2,Número de vendedores ambulantes registrados en la Municipalidad / Total,numeric,397,,,,,SI
bibliocomps_19,Total Computadoras operativas,numeric,40,,,,,SI
infradep_5,Número de infraestructura deportiva y/o recreativa / Complejos deportivos,numeric,30,,,,,SI
orgs_3,Comité del Programa del Vaso de Leche / Número,numeric,280,,programas_sociales,sumar,,SI
orgs_4,Comité del Programa del Vaso de Leche / Total de beneficiarios al 31 de diciemb,numeric,2404,,programas_sociales,sumar,,SI
orgs_7,Comedor Popular / Número,numeric,151,,programas_sociales,sumar,,SI
orgs_8,Comedor Popular / Total de beneficiarios al 31 de diciembre 2015,numeric,1108,,programas_sociales,sumar,,SI
orgs_9,Comedor Popular / Total de beneficiarios al 30 de junio 2016,numeric,834,,programas_sociales,sumar,,SI
orgs_11,Club de madres / Número,numeric,115,,programas_sociales,sumar,,SI
orgs_12,Club de madres / Total de beneficiarios al 31 de diciembre 2015,numeric,585,,programas_sociales,sumar,,SI
orgs_13,Club de madres / Total de beneficiarios al 30 de junio 2016,numeric,449,,programas_sociales,sumar,,SI
orgs_15,Organizaciones sociales / Organizaciones juveniles / Número,numeric,36,,programas_sociales,sumar,,SI
orgs_16,Organizaciones sociales / Organizaciones juveniles / Total de beneficiarios al 3,numeric,190,,programas_sociales,sumar,,SI
orgs_17,Organizaciones sociales / Organizaciones juveniles / Total de beneficiarios al 3,numeric,172,,programas_sociales,sumar,,SI
orgs_19,Otras organizaciones sociales / Número,numeric,24,,programas_sociales,sumar,,SI
orgs_20,Otras organizaciones sociales / Total de beneficiarios al 31 de diciembre 2015,numeric,90,,programas_sociales,sumar,,SI
orgs_21,Otras organizaciones sociales / Total de beneficiarios al 30 de junio 2016,numeric,32,,programas_sociales,sumar,,SI
ciam_3,Centro Integral de Atención al Adulto Mayor (CIAM) / Total de beneficiarios al,numeric,691,,programas_sociales,sumar,,SI
omaped_3,Oficina Municipal de Atención a la Persona con Discapacidad (OMAPED) / Total de,numeric,681,,programas_sociales,sumar,,SI
bvleche_4,Beneficiarios del Programa del Vaso de Leche / Niñas y niños de 0 a 6 años /,numeric,2168,,programas_sociales,sumar,,SI
bvleche_5,Beneficiarios del Programa del Vaso de Leche / Niñas y niños de 0 a 6 años /,numeric,1709,,programas_sociales,sumar,,SI
bvleche_7,Beneficiarios del Programa del Vaso de Leche / Niñas y niños de 7 a 13 años /,numeric,798,,programas_sociales,sumar,,SI
bvleche_10,Beneficiarios del Programa del Vaso de Leche / Madres gestantes / Número de ben,numeric,340,,programas_sociales,sumar,,SI
bvleche_13,Beneficiarios del Programa del Vaso de Leche / Madres en período de lactancia /,numeric,470,,programas_sociales,sumar,,SI
bvleche_16,Beneficiarios del Programa del Vaso de Leche / Personas afectadas con tuberculos,numeric,143,,programas_sociales,sumar,,SI
bvleche_19,Beneficiarios del Programa del Vaso de Leche / Adulto Mayor / Número de benefic,numeric,671,,programas_sociales,sumar,,SI
bvleche_22,Beneficiarios del Programa del Vaso de Leche / Personas con alguna discapacidad,numeric,299,,programas_sociales,sumar,,SI
bvleche_25,Beneficiarios del Programa del Vaso de Leche / Otros casos sociales / Número de,numeric,123,,programas_sociales,sumar,,SI
bvleche_1,Beneficiarios del Programa del Vaso de Leche / Total de beneficiarios / Número,numeric,2404,,programas_sociales,sumar,,SI
financproy_2,Número de proyectos  / Agua y saneamiento,numeric,22,,,,,SI
financproy_4,Número de proyectos  / Electrificación,numeric,9,,,,,SI
financproy_6,Número de proyectos / Hospital,numeric,4,,,,,SI
financproy_8,Número de proyectos / Centro de salud,numeric,7,,,,,SI
financproy_10,Número de proyectos / Puesto de salud,numeric,8,,,,,SI
financproy_12,Número de proyectos / Aulas escolares,numeric,17,,,,,SI
financproy_14,Número de proyectos / Infraestructura vial,numeric,23,,,,,SI
financproy_16,Número de proyectos / Sistemas de riego,numeric,10,,,,,SI
financproy_18,Número de proyectos / Otro,numeric,12,,,,,SI
serpers_7,Efectivos de serenazgo al 30 de junio 2016 / Total,numeric,271,,seguridad_ciudadana,sumar,,SI
serinterv_3,Número de intervenciones registradas por el serenazgo / Robo a transeúntes,numeric,314,,seguridad_ciudadana,sumar,,SI
serinterv_5,Número de intervenciones registradas por el serenazgo / Robo a domicilio,numeric,160,,seguridad_ciudadana,sumar,,SI
serinterv_7,Número de intervenciones registradas por el serenazgo / Robo de vehículos,numeric,128,,seguridad_ciudadana,sumar,,SI
serinterv_9,Número de intervenciones registradas por el serenazgo / Robo de autopartes,numeric,113,,seguridad_ciudadana,sumar,,SI
serinterv_11,Número de intervenciones registradas por el serenazgo / Robo a establecimientos,numeric,117,,seguridad_ciudadana,sumar,,SI
serinterv_13,Número de intervenciones registradas por el serenazgo / Consumo de alcohol en v,numeric,533,,seguridad_ciudadana,sumar,,SI
serinterv_15,Número de intervenciones registradas por el serenazgo / Consumo de drogas,numeric,327,,seguridad_ciudadana,sumar,,SI
serinterv_17,Número de intervenciones registradas por el serenazgo / Accidentes de tránsito,numeric,369,,seguridad_ciudadana,sumar,,SI
serinterv_19,Número de intervenciones registradas por el serenazgo / Comercio Informal,numeric,317,,seguridad_ciudadana,sumar,,SI
serinterv_25,Número de intervenciones registradas por el serenazgo / Otro,numeric,166,,seguridad_ciudadana,sumar,,SI
csegactiv_3,Número de Sesiones de Comité de Seguridad Ciudadana,numeric,38,,,,,SI
servspriv_info,La municipalidad informó sobre establecimientos de servicios y comercio en funci,haven_labelled,1,No informó = 0; Informó = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
denunciasamb_inf,Municipalidad informó sobre registro de denuncias ambientales,haven_labelled,1,No informó = 0; Informó = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
denunciasamb_3,Número de denuncias recepcionadas / Contaminación del agua,numeric,38,,,,,SI
denunciasamb_4,Número de denuncias atendidas / Contaminación del agua,numeric,37,,,,,SI
denunciasamb_6,Número de denuncias recepcionadas / Contaminación del suelo,numeric,45,,,,,SI
denunciasamb_7,Número de denuncias atendidas / Contaminación del suelo,numeric,42,,,,,SI
denunciasamb_9,Número de denuncias recepcionadas / Contaminación del aire,numeric,48,,,,,SI
denunciasamb_10,Número de denuncias atendidas / Contaminación del aire,numeric,45,,,,,SI
denunciasamb_12,Número de denuncias recepcionadas /  Deforestación y quema de bosques,numeric,19,,,,,SI
denunciasamb_13,Número de denuncias atendidas /  Deforestación y quema de bosques,numeric,19,,,,,SI
denunciasamb_15,Número de denuncias recepcionadas /  Contaminación sonora,numeric,66,,,,,SI
denunciasamb_16,Número de denuncias atendidas /   Contaminación sonora,numeric,63,,,,,SI
denunciasamb_17,¿La municipalidad registró otro tipo de denuncias ambientales?,haven_labelled,2,Si = 1; No = 2,,,,SI
participacion_inf,Municipalidad informante sobre participación de la población en la gestión admin,haven_labelled,2,No informó = 0; Informó = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
bibliopers_15,,numeric,26,,,,,SI
serinterv_21,,numeric,328,,seguridad_ciudadana,sumar,,SI
serinterv_23,,numeric,146,,seguridad_ciudadana,sumar,,SI
residfrec_2,RECODE of P45_1 (Frecuencia de recojo de residuos sólidos (basura) que realiza l,haven_labelled,5,diaria = 1; interdiaria = 2; dos veces por semana = 3; una vez por semana = 4; no recogio = 5,,,,SI
limpgast_inf,RECODE of VFI_P50 (Municipalidad),haven_labelled,2,no informo = 0; si informo = 1,servicios_limpieza,ninguna,"Variable de control de información, excluir del análisis",NO
opelimp_inf,RECODE of VFI_P52 (Municipalidad),haven_labelled,2,no informo = 0; si informo = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
regamb_inf,RECODE of VFI_P53 (Municipalidad),haven_labelled,1,no informo = 0; si informo = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
regamb_1,RECODE of P53 (¿La municipalidad registró vendedores ambulantes?),haven_labelled,2,no registro = 0; si registro = 1,,,,SI
internet_1,RECODE of P56 (¿La municipalidad brindó servicios de cabinas de Internet?),haven_labelled,2,no brindo = 0; si brindo = 1,,,,SI
bibliopers_1,RECODE of P60 (¿La municipalidad tiene personal exclusivo de la biblioteca munic,haven_labelled,2,no tiene = 0; si tiene = 1,,,,SI
infradep_inf,RECODE of VFI_P64 (Municipalidad),haven_labelled,2,no informo = 0; si informo = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
infracul_1,,numeric,2,,,,,SI
infracul_2,RECODE of P65_1 (¿La municipalidad administró locales para uso recreacional y cu,haven_labelled,2,no administro = 0; si administro = 1,,,,SI
ciam_1,RECODE of P66A_1 (¿Existe Centro Integral de Atención al Adulto Mayor (CIAM) en,haven_labelled,2,no = 0; si = 1,programas_sociales,sumar,,SI
omaped_1,,numeric,2,,programas_sociales,sumar,,SI
demuna_inf,RECODE of VFI_P68 (Municipalidad),haven_labelled,2,no informo = 0; si informo = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
demuna_1,RECODE of P68 (¿La municipalidad brindó el servicio de Defensoría Municipal del,haven_labelled,2,no brindo = 0; si brindo = 1,,,,SI
financinst_inf,RECODE of VFI_P69 (Municipalidad),haven_labelled,1,no informo = 0; si informo = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
financinst_2,RECODE of P69_1_1 (Organismos o instituciones / Obras de infraestructura / Públi,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_3,RECODE of P69_2_1 (Organismos o instituciones / Obras de infraestructura / Públi,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_4,RECODE of P69_3_1 (Organismos o instituciones / Obras de infraestructura / Públi,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_5,RECODE of P69_4_1 (Organismos o instituciones / Obras de infraestructura / Públi,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_6,RECODE of P69_5_1 (Organismos o instituciones / Obras de infraestructura / Públi,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_7,RECODE of P69_6_1 (Organismos o instituciones / Obras de infraestructura / Públi,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_8,RECODE of P69_7_1 (Organismos o instituciones / Obras de infraestructura / Públi,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_9,RECODE of P69_8_1 (Organismos o instituciones / Obras de infraestructura / Públi,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_10,RECODE of P69_9_1 (Organismos o instituciones / Obras de infraestructura / Públi,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_12,RECODE of P69_11_1 (Organismos o instituciones / Obras de infraestructura / Priv,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_13,RECODE of P69_12_1 (Organismos o instituciones / Obras de infraestructura / Priv,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_14,RECODE of P69_13_1 (Organismos o instituciones / Obras de infraestructura / Priv,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_15,RECODE of P69_14_1 (Organismos o instituciones / Obras de infraestructura / Priv,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_16,RECODE of P69_15_1 (Organismos o instituciones / Obras de infraestructura / Priv,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_17,RECODE of P69_16_1 (Organismos o instituciones / Obras de infraestructura / Priv,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_19,RECODE of P69_1_2 (Organismos o instituciones / Programas sociales / Público / M,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_20,RECODE of P69_2_2 (Organismos o instituciones / Programas Sociales / Público / M,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_21,RECODE of P69_3_2 (Organismos o instituciones / Programas Sociales/ Público / Mi,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_22,RECODE of P69_4_2 (Organismos o instituciones / Programas Sociales / Público / M,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_23,RECODE of P69_5_2 (Organismos o instituciones / Programas Sociales / Público / M,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_24,RECODE of P69_6_2 (Organismos o instituciones / Programas Sociales / Público / M,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_25,RECODE of P69_7_2 (Organismos o instituciones / Programas Sociales / Público / G,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_26,RECODE of P69_8_2 (Organismos o instituciones / Programas Sociales / Público / G,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_27,RECODE of P69_10_1 (Organismos o instituciones / Programas Sociales / Público /,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_29,RECODE of P69_11_2 (Organismos o instituciones / Programas Sociales / Privado /,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_30,RECODE of P69_12_2 (Organismos o instituciones / Programas Sociales / Privado /,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_31,RECODE of P69_13_2 (Organismos o instituciones / Programas Sociales / Privado /,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_32,RECODE of P69_14_2 (Organismos o instituciones / Programas Sociales / Privado /,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_33,RECODE of P69_15_2 (Organismos o instituciones / Programas Sociales / Privado /,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financinst_34,RECODE of P69_17_1 (Organismos o instituciones / Programas Sociales / Privado /,haven_labelled,2,no realiza = 0; si realiza = 1,,,,SI
financproy_inf,RECODE of VFI_P70 (Municipalidad),haven_labelled,2,no informo = 0; si informo = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
financproy_1,RECODE of P70_1 (¿La municipalidad ha recibido transferencia de proyectos de inf,haven_labelled,2,no = 0; si = 1,,,,SI
financproy_3,RECODE of P70_2 (¿La municipalidad ha recibido transferencia de proyectos de inf,haven_labelled,2,no = 0; si = 1,,,,SI
financproy_5,RECODE of P70_3 (¿La municipalidad ha recibido transferencia de proyectos de inf,haven_labelled,2,no = 0; si = 1,,,,SI
financproy_7,RECODE of P70_4 (¿La municipalidad ha recibido transferencia de proyectos de inf,haven_labelled,2,no = 0; si = 1,,,,SI
financproy_9,RECODE of P70_5 (¿La municipalidad ha recibido transferencia de proyectos de inf,haven_labelled,2,no = 0; si = 1,,,,SI
financproy_11,RECODE of P70_6 (¿La municipalidad ha recibido transferencia de proyectos de inf,haven_labelled,2,no = 0; si = 1,,,,SI
financproy_13,RECODE of P70_7 (¿La municipalidad ha recibido transferencia de proyectos de inf,haven_labelled,2,no = 0; si = 1,,,,SI
financproy_15,RECODE of P70_8 (¿La municipalidad ha recibido transferencia de proyectos de inf,haven_labelled,2,no = 0; si = 1,,,,SI
financproy_17,RECODE of P70_9 (¿La municipalidad ha recibido transferencia de proyectos de inf,haven_labelled,2,no = 0; si = 1,,,,SI
estsalud_inf,RECODE of VFI_P71 (Municipalidad),haven_labelled,2,no informo = 0; si informo = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
serinterv_inf,RECODE of VFI_P75 (Municipalidad),haven_labelled,2,no informo = 0; si informo = 1,seguridad_ciudadana,ninguna,"Variable de control de información, excluir del análisis",NO
serinterv_1,,numeric,2,,seguridad_ciudadana,sumar,,SI
serinterv_2,RECODE of P75_1 (¿El serenazgo registró intervenciones por / Robo a transeúntes?,haven_labelled,2,no registra = 0; si registra = 1,seguridad_ciudadana,sumar,,SI
serinterv_4,RECODE of P75_2 (¿El serenazgo registró intervenciones por / Robo a domicilio?),haven_labelled,2,no registra = 0; si registra = 1,seguridad_ciudadana,sumar,,SI
serinterv_6,RECODE of P75_3 (¿El serenazgo registró intervenciones por / Robo de vehículos?),haven_labelled,2,no registra = 0; si registra = 1,seguridad_ciudadana,sumar,,SI
serinterv_8,RECODE of P75_4 (¿El serenazgo registró intervenciones por / Robo de autopartes?,haven_labelled,2,no registra = 0; si registra = 1,seguridad_ciudadana,sumar,,SI
serinterv_10,RECODE of P75_5 (¿El serenazgo registró intervenciones por / Robo a establecimie,haven_labelled,2,no registra = 0; si registra = 1,seguridad_ciudadana,sumar,,SI
serinterv_12,RECODE of P75_6 (¿El serenazgo registró intervenciones por / Consumo de alcohol,haven_labelled,2,no registra = 0; si registra = 1,seguridad_ciudadana,sumar,,SI
serinterv_14,RECODE of P75_7 (¿El serenazgo registró intervenciones por / Consumo de drogas?),haven_labelled,2,no registra = 0; si registra = 1,seguridad_ciudadana,sumar,,SI
serinterv_16,RECODE of P75_8 (¿El serenazgo registró intervenciones por / Accidentes de tráns,haven_labelled,2,no registra = 0; si registra = 1,seguridad_ciudadana,sumar,,SI
serinterv_18,RECODE of P75_9 (¿El serenazgo registró intervenciones por / Comercio Informal?),haven_labelled,2,no registra = 0; si registra = 1,seguridad_ciudadana,sumar,,SI
serinterv_20,,numeric,2,,seguridad_ciudadana,sumar,,SI
serinterv_22,,numeric,2,,seguridad_ciudadana,sumar,,SI
serinterv_24,RECODE of P75_10 (¿El serenazgo registró intervenciones por / Otro?),haven_labelled,2,no registra = 0; si registra = 1,seguridad_ciudadana,sumar,,SI
patrullfrec_1,,numeric,5,,,,,SI
csegconf_1,RECODE of P80 (¿La Municipalidad conformó el Comité Provincial / Distrital de Se,haven_labelled,2,no conformo = 0; si conformo = 1,,,,SI
orgseg_1,RECODE of P84_1 (¿La municipalidad registró organizaciones de seguridad vecinal,haven_labelled,2,no = 0; si = 1,,,,SI
griesgosgr_1,RECODE of P86 (¿La municipalidad tiene constituido el grupo de trabajo de la Ges,haven_labelled,2,no = 0; si = 1,,,,SI
bdefensa_1,RECODE of P89 (¿La municipalidad tiene brigadas de Defensa Civil?),haven_labelled,2,no tiene = 0; si tiene = 1,,,,SI
coel_1,RECODE of P90 (¿La municipalidad ha conformado el Centro de Operaciones de Emerg,haven_labelled,2,no ha conformado = 0; si ha conformado = 1,,,,SI
